"h24_30vD and h24_45vD","h8_45vD and h24_45vD","h8_30vD and h24_45vD","h24_45vD and h24_30vD","h8_45vD and h24_30vD","h8_30vD and h24_30vD","h24_45vD and h8_45vD","h24_30vD and h8_45vD","h8_30vD and h8_45vD","h24_45vD and h8_30vD","h24_30vD and h8_30vD","h8_45vD and h8_30vD","h24_45vD","h24_30vD and not h24_45vD","h8_45vD and not h24_45vD","h8_30vD and not h24_45vD","h24_45vD and not h24_30vD","h24_30vD","h8_45vD and not h24_30vD","h8_30vD and not h24_30vD","h24_45vD and not h8_45vD","h24_30vD and not h8_45vD","h8_45vD","h8_30vD and not h8_45vD","h24_45vD and not h8_30vD","h24_30vD and not h8_30vD","h8_45vD and not h8_30vD","h8_30vD"
"122","ASAP1","ASMTL","","ASB9","","ATP1B1","TIMM44","","","","","","","","SON","","","","TIMM44","TSC22D3","","","","","","","",""
"123","ASB9","ASPM","","ASF1B","","ATP2B4","TOX2","","","","","","","","SRRT","","","","TOX2","TSPYL1","","","","","","","",""
"124","ASF1B","ASS1","","ASMTL","","ATP2C2","TRIB3","","","","","","","","STC2","","","","TRIB3","TUBB2B","","","","","","","",""
"125","ASMTL","ATAD1","","ASNS","","ATP5A1","TSC22D3","","","","","","","","TARDBP","","","","TSC22D3","UBAP2L","","","","","","","",""
"126","ASNS","ATAD2","","ASPM","","ATP5C1","TSPYL1","","","","","","","","TARS","","","","TSPYL1","UHRF1BP1","","","","","","","",""
"127","ASPM","ATF3","","ASS1","","ATP5F1","TUBE1","","","","","","","","TIMM44","","","","TUBE1","UPP1","","","","","","","",""
"128","ASS1","ATP11C","","ATAD1","","ATP5G3","UBAP2L","","","","","","","","TOX2","","","","UBAP2L","VLDLR","","","","","","","",""
"129","ATAD1","ATP13A2","","ATAD2","","ATP5H","UHRF1BP1","","","","","","","","TRIB3","","","","UHRF1BP1","WDR33","","","","","","","",""
"130","ATAD2","ATP1B1","","ATF3","","ATP5J","UPP1","","","","","","","","TSC22D3","","","","UPP1","XBP1","","","","","","","",""
"131","ATF3","ATP2B4","","ATP11C","","ATP5J2","VEGFA","","","","","","","","TSPYL1","","","","VEGFA","YARS","","","","","","","",""
"132","ATP11C","ATP2C2","","ATP13A2","","ATP5L","VLDLR","","","","","","","","TUBB2B","","","","VLDLR","ZBED3","","","","","","","",""
"133","ATP13A2","ATP5A1","","ATP1B1","","ATP6V0D1","WDR33","","","","","","","","TUBE1","","","","WDR33","ZFAND1","","","","","","","",""
"134","ATP1B1","ATP5C1","","ATP2B4","","ATP6V0E1","XBP1","","","","","","","","UBAP2L","","","","XBP1","ZFP36L1","","","","","","","",""
"135","ATP2B4","ATP5F1","","ATP2C2","","ATP6V0E2","YARS","","","","","","","","UHRF1BP1","","","","YARS","ZNF207","","","","","","","",""
"136","ATP2C2","ATP5G3","","ATP5A1","","ATP6V1A","ZBED3","","","","","","","","UPP1","","","","ZBED3","ZNF419","","","","","","","",""
"137","ATP5A1","ATP5H","","ATP5C1","","ATP6V1D","ZFAND1","","","","","","","","VEGFA","","","","ZFAND1","ZNF672","","","","","","","",""
"138","ATP5C1","ATP5J","","ATP5F1","","ATP7A","ZFP36L1","","","","","","","","VLDLR","","","","ZFP36L1","","","","","","","","",""
"139","ATP5F1","ATP5J2","","ATP5G3","","ATP8B1","ZNF207","","","","","","","","WDR33","","","","ZNF207","","","","","","","","",""
"140","ATP5G3","ATP5L","","ATP5H","","ATP9A","ZNF419","","","","","","","","XBP1","","","","ZNF419","","","","","","","","",""
"141","ATP5H","ATP6V0D1","","ATP5J","","ATPIF1","","","","","","","","","YARS","","","","","","","","","","","","",""
"142","ATP5J","ATP6V0E1","","ATP5J2","","ATXN2L","","","","","","","","","ZBED3","","","","","","","","","","","","",""
"143","ATP5J2","ATP6V0E2","","ATP5L","","AURKA","","","","","","","","","ZFAND1","","","","","","","","","","","","",""
"144","ATP5L","ATP6V1A","","ATP6V0D1","","AXIN1","","","","","","","","","ZFP36L1","","","","","","","","","","","","",""
"145","ATP6V0D1","ATP6V1D","","ATP6V0E1","","AXIN2","","","","","","","","","ZNF207","","","","","","","","","","","","",""
"146","ATP6V0E1","ATP7A","","ATP6V0E2","","AZI2","","","","","","","","","ZNF419","","","","","","","","","","","","",""
"147","ATP6V0E2","ATP8B1","","ATP6V1A","","B3GALNT2","","","","","","","","","ZNF672","","","","","","","","","","","","",""
"148","ATP6V1A","ATP9A","","ATP6V1D","","B3GALT1","","","","","","","","","","","","","","","","","","","","","",""
"149","ATP6V1D","ATPIF1","","ATP7A","","B3GNT1","","","","","","","","","","","","","","","","","","","","","",""
"150","ATP7A","ATXN2L","","ATP8B1","","B4GALNT1","","","","","","","","","","","","","","","","","","","","","",""
"151","ATP8B1","AURKA","","ATP9A","","BAG3","","","","","","","","","","","","","","","","","","","","","",""
"152","ATP9A","AXIN1","","ATPIF1","","BAIAP2","","","","","","","","","","","","","","","","","","","","","",""
"153","ATPIF1","AXIN2","","ATXN2L","","BAIAP2L1","","","","","","","","","","","","","","","","","","","","","",""
"154","ATXN2L","AZI2","","AURKA","","BATF3","","","","","","","","","","","","","","","","","","","","","",""
"155","AURKA","B3GALNT2","","AXIN1","","BBOX1","","","","","","","","","","","","","","","","","","","","","",""
"156","AXIN1","B3GALT1","","AXIN2","","BBS5","","","","","","","","","","","","","","","","","","","","","",""
"157","AXIN2","B3GNT1","","AZI2","","BCAR3","","","","","","","","","","","","","","","","","","","","","",""
"158","AZI2","B4GALNT1","","B3GALNT2","","BCL2L13","","","","","","","","","","","","","","","","","","","","","",""
"159","B3GALNT2","BAG3","","B3GALT1","","BCL2L2","","","","","","","","","","","","","","","","","","","","","",""
"160","B3GALT1","BAIAP2","","B3GNT1","","BCLAF1","","","","","","","","","","","","","","","","","","","","","",""
"161","B3GNT1","BAIAP2L1","","B4GALNT1","","BDNF","","","","","","","","","","","","","","","","","","","","","",""
"162","B4GALNT1","BATF3","","BAG3","","BEND7","","","","","","","","","","","","","","","","","","","","","",""
"163","BAG3","BBOX1","","BAIAP2","","BEX2","","","","","","","","","","","","","","","","","","","","","",""
"164","BAIAP2","BBS5","","BAIAP2L1","","BEX4","","","","","","","","","","","","","","","","","","","","","",""
"165","BAIAP2L1","BCAR3","","BATF3","","BGN","","","","","","","","","","","","","","","","","","","","","",""
"166","BATF3","BCL2L13","","BBOX1","","BHLHE41","","","","","","","","","","","","","","","","","","","","","",""
"167","BBOX1","BCL2L2","","BBS5","","BICD1","","","","","","","","","","","","","","","","","","","","","",""
"168","BBS5","BCLAF1","","BCAR3","","BIRC5","","","","","","","","","","","","","","","","","","","","","",""
"169","BCAR3","BDNF","","BCL2L13","","BMP4","","","","","","","","","","","","","","","","","","","","","",""
"170","BCL2L13","BEND7","","BCL2L2","","BMP7","","","","","","","","","","","","","","","","","","","","","",""
"171","BCL2L2","BEX2","","BCLAF1","","BMPER","","","","","","","","","","","","","","","","","","","","","",""
"172","BCLAF1","BEX4","","BDNF","","BNC2","","","","","","","","","","","","","","","","","","","","","",""
"173","BDNF","BGN","","BEND7","","BOC","","","","","","","","","","","","","","","","","","","","","",""
"174","BEND7","BHLHE41","","BEX2","","BOD1","","","","","","","","","","","","","","","","","","","","","",""
"175","BEX2","BICD1","","BEX4","","BORA","","","","","","","","","","","","","","","","","","","","","",""
"176","BEX4","BIRC5","","BGN","","BPIFA2","","","","","","","","","","","","","","","","","","","","","",""
"177","BGN","BMP4","","BHLHE41","","BRAF","","","","","","","","","","","","","","","","","","","","","",""
"178","BHLHE41","BMP7","","BICD1","","BRAP","","","","","","","","","","","","","","","","","","","","","",""
"179","BICD1","BMPER","","BIRC5","","BRD4","","","","","","","","","","","","","","","","","","","","","",""
"180","BIRC5","BNC2","","BMP4","","BRD8","","","","","","","","","","","","","","","","","","","","","",""
"181","BMP4","BOC","","BMP7","","BRI3BP","","","","","","","","","","","","","","","","","","","","","",""
"182","BMP7","BOD1","","BMPER","","BRPF3","","","","","","","","","","","","","","","","","","","","","",""
"183","BMPER","BORA","","BNC2","","BRSK1","","","","","","","","","","","","","","","","","","","","","",""
"184","BNC2","BPIFA2","","BOC","","BSN","","","","","","","","","","","","","","","","","","","","","",""
"185","BOC","BRAF","","BOD1","","BSPRY","","","","","","","","","","","","","","","","","","","","","",""
"186","BOD1","BRAP","","BORA","","BTBD19","","","","","","","","","","","","","","","","","","","","","",""
"187","BORA","BRD4","","BPIFA2","","BTG1","","","","","","","","","","","","","","","","","","","","","",""
"188","BPIFA2","BRD8","","BRAF","","BTN3A2","","","","","","","","","","","","","","","","","","","","","",""
"189","BRAF","BRI3BP","","BRAP","","BUB1","","","","","","","","","","","","","","","","","","","","","",""
"190","BRAP","BRPF3","","BRD4","","BUB1B","","","","","","","","","","","","","","","","","","","","","",""
"191","BRD4","BRSK1","","BRD8","","BUD31","","","","","","","","","","","","","","","","","","","","","",""
"192","BRD8","BSN","","BRI3BP","","BVES","","","","","","","","","","","","","","","","","","","","","",""
"193","BRI3BP","BSPRY","","BRPF3","","C10orf114","","","","","","","","","","","","","","","","","","","","","",""
"194","BRPF3","BTBD19","","BRSK1","","C10orf140","","","","","","","","","","","","","","","","","","","","","",""
"195","BRSK1","BTG1","","BSN","","C10orf2","","","","","","","","","","","","","","","","","","","","","",""
"196","BSN","BTN3A2","","BSPRY","","C10orf81","","","","","","","","","","","","","","","","","","","","","",""
"197","BSPRY","BUB1","","BTBD19","","C11orf68","","","","","","","","","","","","","","","","","","","","","",""
"198","BTBD19","BUB1B","","BTG1","","C11orf9","","","","","","","","","","","","","","","","","","","","","",""
"199","BTG1","BUD31","","BTN3A2","","C12orf34","","","","","","","","","","","","","","","","","","","","","",""
"200","BTN3A2","BVES","","BUB1","","C12orf44","","","","","","","","","","","","","","","","","","","","","",""
"201","BUB1","C10orf114","","BUB1B","","C14orf1","","","","","","","","","","","","","","","","","","","","","",""
"202","BUB1B","C10orf140","","BUD31","","C14orf133","","","","","","","","","","","","","","","","","","","","","",""
"203","BUD31","C10orf2","","BVES","","C14orf2","","","","","","","","","","","","","","","","","","","","","",""
"204","BVES","C10orf47","","C10orf114","","C14orf21","","","","","","","","","","","","","","","","","","","","","",""
"205","C10orf114","C10orf81","","C10orf140","","C14orf49","","","","","","","","","","","","","","","","","","","","","",""
"206","C10orf140","C11orf68","","C10orf2","","C15orf23","","","","","","","","","","","","","","","","","","","","","",""
"207","C10orf2","C11orf9","","C10orf47","","C16orf48","","","","","","","","","","","","","","","","","","","","","",""
"208","C10orf47","C12orf34","","C10orf81","","C16orf58","","","","","","","","","","","","","","","","","","","","","",""
"209","C10orf81","C12orf44","","C11orf68","","C17orf48","","","","","","","","","","","","","","","","","","","","","",""
"210","C11orf68","C14orf1","","C11orf9","","C19orf48","","","","","","","","","","","","","","","","","","","","","",""
"211","C11orf9","C14orf133","","C12orf34","","C1GALT1C1","","","","","","","","","","","","","","","","","","","","","",""
"212","C12orf34","C14orf2","","C12orf44","","C1orf112","","","","","","","","","","","","","","","","","","","","","",""
"213","C12orf44","C14orf21","","C14orf1","","C1orf201","","","","","","","","","","","","","","","","","","","","","",""
"214","C14orf1","C14orf49","","C14orf133","","C1orf43","","","","","","","","","","","","","","","","","","","","","",""
"215","C14orf133","C15orf23","","C14orf2","","C20orf151","","","","","","","","","","","","","","","","","","","","","",""
"216","C14orf2","C16orf48","","C14orf21","","C21orf58","","","","","","","","","","","","","","","","","","","","","",""
"217","C14orf21","C16orf58","","C14orf49","","C22orf13","","","","","","","","","","","","","","","","","","","","","",""
"218","C14orf49","C17orf48","","C15orf23","","C22orf23","","","","","","","","","","","","","","","","","","","","","",""
"219","C15orf23","C19orf48","","C16orf48","","C2orf18","","","","","","","","","","","","","","","","","","","","","",""
"220","C16orf48","C1GALT1C1","","C16orf58","","C3","","","","","","","","","","","","","","","","","","","","","",""
"221","C16orf58","C1orf112","","C17orf48","","C3orf19","","","","","","","","","","","","","","","","","","","","","",""
"222","C17orf48","C1orf201","","C19orf48","","C3orf26","","","","","","","","","","","","","","","","","","","","","",""
"223","C19orf48","C1orf43","","C1GALT1C1","","C4orf3","","","","","","","","","","","","","","","","","","","","","",""
"224","C1GALT1C1","C20orf151","","C1orf112","","C4orf32","","","","","","","","","","","","","","","","","","","","","",""
"225","C1orf112","C21orf58","","C1orf201","","C4orf46","","","","","","","","","","","","","","","","","","","","","",""
"226","C1orf201","C22orf13","","C1orf43","","C5AR1","","","","","","","","","","","","","","","","","","","","","",""
"227","C1orf43","C22orf23","","C20orf151","","C5orf15","","","","","","","","","","","","","","","","","","","","","",""
"228","C20orf151","C2orf18","","C21orf58","","C5orf42","","","","","","","","","","","","","","","","","","","","","",""
"229","C21orf58","C3","","C22orf13","","C6orf48","","","","","","","","","","","","","","","","","","","","","",""
"230","C22orf13","C3orf19","","C22orf23","","C7orf29","","","","","","","","","","","","","","","","","","","","","",""
"231","C22orf23","C3orf26","","C2orf18","","C9orf100","","","","","","","","","","","","","","","","","","","","","",""
"232","C2orf18","C4orf3","","C3","","CABLES2","","","","","","","","","","","","","","","","","","","","","",""
"233","C3","C4orf32","","C3orf19","","CACNG4","","","","","","","","","","","","","","","","","","","","","",""
"234","C3orf19","C4orf46","","C3orf26","","CACYBP","","","","","","","","","","","","","","","","","","","","","",""
"235","C3orf26","C5AR1","","C4orf3","","CALM1","","","","","","","","","","","","","","","","","","","","","",""
"236","C4orf3","C5orf15","","C4orf32","","CALM3","","","","","","","","","","","","","","","","","","","","","",""
"237","C4orf32","C5orf42","","C4orf46","","CALR","","","","","","","","","","","","","","","","","","","","","",""
"238","C4orf46","C6orf48","","C5AR1","","CAMK2D","","","","","","","","","","","","","","","","","","","","","",""
"239","C5AR1","C7orf29","","C5orf15","","CAND1","","","","","","","","","","","","","","","","","","","","","",""
"240","C5orf15","C9orf100","","C5orf42","","CAP1","","","","","","","","","","","","","","","","","","","","","",""
"241","C5orf42","C9orf91","","C6orf48","","CAP2","","","","","","","","","","","","","","","","","","","","","",""
"242","C6orf48","CABLES2","","C7orf29","","CAPN12","","","","","","","","","","","","","","","","","","","","","",""
"243","C7orf29","CACNG4","","C9orf100","","CARHSP1","","","","","","","","","","","","","","","","","","","","","",""
"244","C9orf100","CACYBP","","C9orf91","","CASC5","","","","","","","","","","","","","","","","","","","","","",""
"245","C9orf91","CALM1","","CABLES2","","CASK","","","","","","","","","","","","","","","","","","","","","",""
"246","CABLES2","CALM3","","CACNG4","","CASP6","","","","","","","","","","","","","","","","","","","","","",""
"247","CACNG4","CALR","","CACYBP","","CASP7","","","","","","","","","","","","","","","","","","","","","",""
"248","CACYBP","CAMK2D","","CALCB","","CAT","","","","","","","","","","","","","","","","","","","","","",""
"249","CALCB","CAND1","","CALM1","","CAV1","","","","","","","","","","","","","","","","","","","","","",""
"250","CALM1","CAP1","","CALM3","","CBLC","","","","","","","","","","","","","","","","","","","","","",""
"251","CALM3","CAP2","","CALR","","CBR1","","","","","","","","","","","","","","","","","","","","","",""
"252","CALR","CAPN12","","CAMK2D","","CBX3","","","","","","","","","","","","","","","","","","","","","",""
"253","CAMK2D","CAPRIN1","","CAND1","","CBX4","","","","","","","","","","","","","","","","","","","","","",""
"254","CAND1","CARHSP1","","CAP1","","CBX8","","","","","","","","","","","","","","","","","","","","","",""
"255","CAP1","CASC5","","CAP2","","CCDC101","","","","","","","","","","","","","","","","","","","","","",""
"256","CAP2","CASK","","CAPN12","","CCDC111","","","","","","","","","","","","","","","","","","","","","",""
"257","CAPN12","CASP6","","CAPRIN1","","CCDC113","","","","","","","","","","","","","","","","","","","","","",""
"258","CAPRIN1","CASP7","","CARHSP1","","CCDC117","","","","","","","","","","","","","","","","","","","","","",""
"259","CARHSP1","CAT","","CARS","","CCDC122","","","","","","","","","","","","","","","","","","","","","",""
"260","CARS","CAV1","","CASC5","","CCDC130","","","","","","","","","","","","","","","","","","","","","",""
"261","CASC5","CBLC","","CASK","","CCDC146","","","","","","","","","","","","","","","","","","","","","",""
"262","CASK","CBR1","","CASP6","","CCDC167","","","","","","","","","","","","","","","","","","","","","",""
"263","CASP6","CBX3","","CASP7","","CCDC171","","","","","","","","","","","","","","","","","","","","","",""
"264","CASP7","CBX4","","CAT","","CCDC18","","","","","","","","","","","","","","","","","","","","","",""
"265","CAT","CBX8","","CAV1","","CCDC56","","","","","","","","","","","","","","","","","","","","","",""
"266","CAV1","CCDC101","","CBLC","","CCDC64B","","","","","","","","","","","","","","","","","","","","","",""
"267","CBLC","CCDC111","","CBR1","","CCDC72","","","","","","","","","","","","","","","","","","","","","",""
"268","CBR1","CCDC113","","CBS","","CCDC80","","","","","","","","","","","","","","","","","","","","","",""
"269","CBS","CCDC117","","CBX3","","CCDC92","","","","","","","","","","","","","","","","","","","","","",""
"270","CBX3","CCDC122","","CBX4","","CCNA1","","","","","","","","","","","","","","","","","","","","","",""
"271","CBX4","CCDC130","","CBX8","","CCNA2","","","","","","","","","","","","","","","","","","","","","",""
"272","CBX8","CCDC146","","CCDC101","","CCNB1","","","","","","","","","","","","","","","","","","","","","",""
"273","CCDC101","CCDC167","","CCDC111","","CCNB2","","","","","","","","","","","","","","","","","","","","","",""
"274","CCDC111","CCDC171","","CCDC113","","CCND1","","","","","","","","","","","","","","","","","","","","","",""
"275","CCDC113","CCDC18","","CCDC117","","CCND3","","","","","","","","","","","","","","","","","","","","","",""
"276","CCDC117","CCDC56","","CCDC122","","CCNF","","","","","","","","","","","","","","","","","","","","","",""
"277","CCDC122","CCDC64B","","CCDC130","","CCNG2","","","","","","","","","","","","","","","","","","","","","",""
"278","CCDC130","CCDC72","","CCDC146","","CCNI","","","","","","","","","","","","","","","","","","","","","",""
"279","CCDC146","CCDC80","","CCDC167","","CCNYL1","","","","","","","","","","","","","","","","","","","","","",""
"280","CCDC167","CCDC92","","CCDC171","","CCPG1","","","","","","","","","","","","","","","","","","","","","",""
"281","CCDC171","CCNA1","","CCDC18","","CCT2","","","","","","","","","","","","","","","","","","","","","",""
"282","CCDC18","CCNA2","","CCDC56","","CCT3","","","","","","","","","","","","","","","","","","","","","",""
"283","CCDC56","CCNB1","","CCDC64B","","CCT4","","","","","","","","","","","","","","","","","","","","","",""
"284","CCDC64B","CCNB2","","CCDC72","","CCT8","","","","","","","","","","","","","","","","","","","","","",""
"285","CCDC72","CCND1","","CCDC80","","CD200","","","","","","","","","","","","","","","","","","","","","",""
"286","CCDC80","CCND3","","CCDC92","","CD24","","","","","","","","","","","","","","","","","","","","","",""
"287","CCDC92","CCNF","","CCNA1","","CD276","","","","","","","","","","","","","","","","","","","","","",""
"288","CCNA1","CCNG2","","CCNA2","","CD2AP","","","","","","","","","","","","","","","","","","","","","",""
"289","CCNA2","CCNI","","CCNB1","","CD55","","","","","","","","","","","","","","","","","","","","","",""
"290","CCNB1","CCNYL1","","CCNB1IP1","","CD68","","","","","","","","","","","","","","","","","","","","","",""
"291","CCNB1IP1","CCPG1","","CCNB2","","CDAN1","","","","","","","","","","","","","","","","","","","","","",""
"292","CCNB2","CCT2","","CCND1","","CDC20","","","","","","","","","","","","","","","","","","","","","",""
"293","CCND1","CCT3","","CCND3","","CDC25C","","","","","","","","","","","","","","","","","","","","","",""
"294","CCND3","CCT4","","CCNF","","CDC27","","","","","","","","","","","","","","","","","","","","","",""
"295","CCNF","CCT8","","CCNG2","","CDC34","","","","","","","","","","","","","","","","","","","","","",""
"296","CCNG2","CD200","","CCNI","","CDC42","","","","","","","","","","","","","","","","","","","","","",""
"297","CCNI","CD24","","CCNYL1","","CDC42BPA","","","","","","","","","","","","","","","","","","","","","",""
"298","CCNYL1","CD276","","CCPG1","","CDC42BPB","","","","","","","","","","","","","","","","","","","","","",""
"299","CCPG1","CD2AP","","CCT2","","CDC42EP3","","","","","","","","","","","","","","","","","","","","","",""
"300","CCT2","CD55","","CCT3","","CDC5L","","","","","","","","","","","","","","","","","","","","","",""
"301","CCT3","CD68","","CCT4","","CDCA2","","","","","","","","","","","","","","","","","","","","","",""
"302","CCT4","CDAN1","","CCT8","","CDCA3","","","","","","","","","","","","","","","","","","","","","",""
"303","CCT8","CDC20","","CD200","","CDCA8","","","","","","","","","","","","","","","","","","","","","",""
"304","CD200","CDC25C","","CD24","","CDH6","","","","","","","","","","","","","","","","","","","","","",""
"305","CD24","CDC27","","CD276","","CDK1","","","","","","","","","","","","","","","","","","","","","",""
"306","CD276","CDC34","","CD2AP","","CDK5","","","","","","","","","","","","","","","","","","","","","",""
"307","CD2AP","CDC42","","CD55","","CDKN1B","","","","","","","","","","","","","","","","","","","","","",""
"308","CD55","CDC42BPA","","CD68","","CDKN2D","","","","","","","","","","","","","","","","","","","","","",""
"309","CD68","CDC42BPB","","CDAN1","","CDKN3","","","","","","","","","","","","","","","","","","","","","",""
"310","CDAN1","CDC42EP1","","CDC20","","CEACAM19","","","","","","","","","","","","","","","","","","","","","",""
"311","CDC20","CDC42EP3","","CDC25C","","CELSR2","","","","","","","","","","","","","","","","","","","","","",""
"312","CDC25C","CDC5L","","CDC27","","CEND1","","","","","","","","","","","","","","","","","","","","","",""
"313","CDC27","CDCA2","","CDC34","","CENPA","","","","","","","","","","","","","","","","","","","","","",""
"314","CDC34","CDCA3","","CDC42","","CENPC1","","","","","","","","","","","","","","","","","","","","","",""
"315","CDC42","CDCA8","","CDC42BPA","","CENPE","","","","","","","","","","","","","","","","","","","","","",""
"316","CDC42BPA","CDH6","","CDC42BPB","","CENPF","","","","","","","","","","","","","","","","","","","","","",""
"317","CDC42BPB","CDK1","","CDC42EP1","","CENPI","","","","","","","","","","","","","","","","","","","","","",""
"318","CDC42EP1","CDK5","","CDC42EP3","","CENPN","","","","","","","","","","","","","","","","","","","","","",""
"319","CDC42EP3","CDKN1A","","CDC5L","","CENPO","","","","","","","","","","","","","","","","","","","","","",""
"320","CDC5L","CDKN1B","","CDCA2","","CENPW","","","","","","","","","","","","","","","","","","","","","",""
"321","CDCA2","CDKN2D","","CDCA3","","CEP55","","","","","","","","","","","","","","","","","","","","","",""
"322","CDCA3","CDKN3","","CDCA8","","CEP78","","","","","","","","","","","","","","","","","","","","","",""
"323","CDCA8","CEACAM19","","CDH6","","CERCAM","","","","","","","","","","","","","","","","","","","","","",""
"324","CDH6","CELSR2","","CDK1","","CFL1","","","","","","","","","","","","","","","","","","","","","",""
"325","CDK1","CEND1","","CDK5","","CFL2","","","","","","","","","","","","","","","","","","","","","",""
"326","CDK5","CENPA","","CDKN1A","","CGN","","","","","","","","","","","","","","","","","","","","","",""
"327","CDKN1A","CENPC1","","CDKN1B","","CHCHD7","","","","","","","","","","","","","","","","","","","","","",""
"328","CDKN1B","CENPE","","CDKN2C","","CHD2","","","","","","","","","","","","","","","","","","","","","",""
"329","CDKN2C","CENPF","","CDKN2D","","CHD3","","","","","","","","","","","","","","","","","","","","","",""
"330","CDKN2D","CENPI","","CDKN3","","CHD4","","","","","","","","","","","","","","","","","","","","","",""
"331","CDKN3","CENPN","","CEACAM19","","CHD6","","","","","","","","","","","","","","","","","","","","","",""
"332","CEACAM19","CENPO","","CEBPG","","CHD8","","","","","","","","","","","","","","","","","","","","","",""
"333","CEBPB","CENPW","","CELSR2","","CHEK1","","","","","","","","","","","","","","","","","","","","","",""
"334","CEBPG","CEP120","","CEND1","","CHN1","","","","","","","","","","","","","","","","","","","","","",""
"335","CELSR2","CEP55","","CENPA","","CHORDC1","","","","","","","","","","","","","","","","","","","","","",""
"336","CEND1","CEP78","","CENPC1","","CHRDL1","","","","","","","","","","","","","","","","","","","","","",""
"337","CENPA","CERCAM","","CENPE","","CHST11","","","","","","","","","","","","","","","","","","","","","",""
"338","CENPC1","CFL1","","CENPF","","CHST12","","","","","","","","","","","","","","","","","","","","","",""
