"h24_30vD and h24_45vD","h8_45vD and h24_45vD","h8_30vD and h24_45vD","h24_45vD and h24_30vD","h8_45vD and h24_30vD","h8_30vD and h24_30vD","h24_45vD and h8_45vD","h24_30vD and h8_45vD","h8_30vD and h8_45vD","h24_45vD and h8_30vD","h24_30vD and h8_30vD","h8_45vD and h8_30vD","h24_45vD","h24_30vD and not h24_45vD","h8_45vD and not h24_45vD","h8_30vD and not h24_45vD","h24_45vD and not h24_30vD","h24_30vD","h8_45vD and not h24_30vD","h8_30vD and not h24_30vD","h24_45vD and not h8_45vD","h24_30vD and not h8_45vD","h8_45vD","h8_30vD and not h8_45vD","h24_45vD and not h8_30vD","h24_30vD and not h8_30vD","h8_45vD and not h8_30vD","h8_30vD"
"68","ALKBH3","AMMECR1L","SHMT2","ALYREF","","ANAPC16","LMO4","SFXN3","","SHMT2","SLC7A1","","","","KLF4","SLC6A9","","","LMO4","LONP1","","","","","","","",""
"69","ALYREF","AMOT","SLC12A8","AMMECR1","","ANAPC2","LONP1","SHMT2","","SLC12A8","SLC7A5","","","","KLF9","SON","","","LONP1","LONRF1","","","","","","","",""
"70","AMMECR1","AMOTL2","SLC1A4","AMMECR1L","","ANKFY1","LONRF1","SLC12A8","","SLC1A4","SPAG5","","","","KSR1","SRRT","","","LONRF1","LUZP1","","","","","","","",""
"71","AMMECR1L","ANAPC13","SLC1A5","AMOT","","ANKMY1","LUZP1","SLC1A4","","SLC1A5","SPOCK1","","","","LDHA","TARDBP","","","LUZP1","MID1IP1","","","","","","","",""
"72","AMOT","ANAPC16","SLC3A2","AMOTL2","","ANKRA2","MID1IP1","SLC1A5","","SLC3A2","SQSTM1","","","","LGR4","TARS","","","MID1IP1","MORN4","","","","","","","",""
"73","AMOTL2","ANAPC2","SLC4A5","ANAPC13","","ANKS1A","MORN4","SLC3A2","","SLC4A5","SRXN1","","","","LMO4","TIMM44","","","MORN4","MSC","","","","","","","",""
"74","ANAPC13","ANKFY1","SLC7A1","ANAPC16","","ANP32A","MSC","SLC4A5","","SLC7A1","STC2","","","","LONP1","TSC22D3","","","MSC","MTHFD1L","","","","","","","",""
"75","ANAPC16","ANKMY1","SLC7A11","ANAPC2","","ANP32E","MTHFD1L","SLC7A1","","SLC7A11","TOX2","","","","LONRF1","TSPYL1","","","MTHFD1L","MTHFD2","","","","","","","",""
"76","ANAPC2","ANKRA2","SLC7A5","ANKFY1","","ANXA3","MTHFD2","SLC7A11","","SLC7A5","TRIB3","","","","LUZP1","TUBB2B","","","MTHFD2","MYC","","","","","","","",""
"77","ANKFY1","ANKRD11","SPAG5","ANKMY1","","ANXA9","MYC","SLC7A5","","SPAG5","TRIM16L","","","","MID1IP1","UBAP2L","","","MYC","NARS","","","","","","","",""
"78","ANKMY1","ANKS1A","SPOCK1","ANKRA2","","AP1G1","NARS","SPAG5","","SPOCK1","UCHL1","","","","MORN4","VLDLR","","","NARS","NFKBIL1","","","","","","","",""
"79","ANKRA2","ANLN","SQSTM1","ANKRD11","","AP1S3","NFKBIL1","SPOCK1","","SQSTM1","UHRF1BP1","","","","MSC","WDR33","","","NFKBIL1","NR1D1","","","","","","","",""
"80","ANKRD11","ANP32A","SRXN1","ANKS1A","","AP3M2","NR1D1","SQSTM1","","SRXN1","UPP1","","","","MTHFD1L","XBP1","","","NR1D1","PCK2","","","","","","","",""
"81","ANKS1A","ANP32E","STC2","ANLN","","AP4M1","NUPR1","SRXN1","","STC2","WARS","","","","MTHFD2","ZBED3","","","NUPR1","PCNXL2","","","","","","","",""
"82","ANLN","ANXA3","TOX2","ANP32A","","AP5M1","PCK2","STC2","","TOX2","YARS","","","","MYC","ZNF419","","","PCK2","PGPEP1","","","","","","","",""
"83","ANP32A","ANXA9","TRIB3","ANP32E","","APAF1","PCNXL2","TOX2","","TRIB3","ZFAND1","","","","NARS","ZNF672","","","PCNXL2","PHGDH","","","","","","","",""
"84","ANP32E","AP1G1","TRIM16L","ANXA3","","APBA3","PGPEP1","TRIB3","","TRIM16L","ZFP36L1","","","","NFKBIL1","","","","PGPEP1","PKN1","","","","","","","",""
"85","ANXA3","AP1S3","TUBE1","ANXA9","","APEX1","PHGDH","TRIM16L","","TUBE1","ZNF207","","","","NR1D1","","","","PHGDH","PMAIP1","","","","","","","",""
"86","ANXA9","AP3M2","UCHL1","AP1G1","","API5","PKN1","TUBE1","","UCHL1","","","","","NUPR1","","","","PKN1","PPHLN1","","","","","","","",""
"87","AP1G1","AP4M1","UHRF1BP1","AP1S3","","APOPT1","PMAIP1","UCHL1","","UHRF1BP1","","","","","PCK2","","","","PMAIP1","PPP1R15A","","","","","","","",""
"88","AP1S3","AP5M1","UPP1","AP3M2","","AQP11","PPHLN1","UHRF1BP1","","UPP1","","","","","PCNXL2","","","","PPHLN1","PRPF40B","","","","","","","",""
