"h48.45vsD","h48.30vsD","h24.45vsD","h24.30vsD","h8.45vsD","h8.30vsD"
"ABCC4",0.935100561996124,0.935100561996124,0.935100561996124,0.935100561996124,0.935100561996124,0.935100561996124
"ABCC5",0.963529064978334,0.963529064978334,0.963529064978334,0.963529064978334,0.963529064978334,0.963529064978334
"ABCC5-AS1",NA,NA,NA,NA,NA,NA
"ABCC6",0.188033698979559,0.188033698979559,0.188033698979559,0.188033698979559,0.188033698979559,0.188033698979559
"ABCC6P1",1,1,1,1,1,1
"ABCC6P2",NA,NA,NA,NA,NA,NA
"ABCC8",NA,NA,NA,NA,NA,NA
"ABCC9",NA,NA,NA,NA,NA,NA
"ABCD1",0.227274210274999,0.227274210274999,0.227274210274999,0.227274210274999,0.227274210274999,0.227274210274999
"ABCD2",NA,NA,NA,NA,NA,NA
"ABCD3",1.59639799932744e-15,1.59639799932744e-15,1.59639799932744e-15,1.59639799932744e-15,1.59639799932744e-15,1.59639799932744e-15
"ABCD4",5.01833208737819e-05,5.01833208737819e-05,5.01833208737819e-05,5.01833208737819e-05,5.01833208737819e-05,5.01833208737819e-05
"ABCE1",0.114158511745791,0.114158511745791,0.114158511745791,0.114158511745791,0.114158511745791,0.114158511745791
"ABCF1",0.101238613479233,0.101238613479233,0.101238613479233,0.101238613479233,0.101238613479233,0.101238613479233
"ABCF2",1,1,1,1,1,1
"ABCF2-H2BK1",0.918716437898659,0.918716437898659,0.918716437898659,0.918716437898659,0.918716437898659,0.918716437898659
"ABCF2P1",NA,NA,NA,NA,NA,NA
"ABCF3",1.2086875584131e-05,1.2086875584131e-05,1.2086875584131e-05,1.2086875584131e-05,1.2086875584131e-05,1.2086875584131e-05
"ABCG1",0.189301076219953,0.189301076219953,0.189301076219953,0.189301076219953,0.189301076219953,0.189301076219953
"ABCG2",1,1,1,1,1,1
"ABCG4",1,1,1,1,1,1
"ABCG5",NA,NA,NA,NA,NA,NA
"ABCG8",NA,NA,NA,NA,NA,NA
"ABHD1",0.771875009035322,0.771875009035322,0.771875009035322,0.771875009035322,0.771875009035322,0.771875009035322
"ABHD10",0.836186892867148,0.836186892867148,0.836186892867148,0.836186892867148,0.836186892867148,0.836186892867148
