"gene" "h24_45vD_log2FoldChange" "h24_45vD_padj" "h24_45v30_log2FoldChange" "h24_45v30_padj" "h24_30vD_log2FoldChange" "h24_30vD_padj" "h8_45vD_log2FoldChange" "h8_45vD_padj" "h8_45v30_log2FoldChange" "h8_45v30_padj" "h8_30vD_log2FoldChange" "h8_30vD_padj"
"SRSF3" -0.859249797372583 1.98506839345444e-23 -0.535767070140985 7.21296961364907e-08 -0.323482727231598 0.0294244521351154 -0.323852849434604 0.0201768979045184 -0.195634997905951 3.87710000366788 -0.128217851528653 5.99931127345856
"DDIT3" 3.13800628370671 2.31074334003157e-23 1.25187058629624 0.0038613682451308 1.88613569741046 6.08961565594513e-07 2.54403834018587 5.89420285429112e-14 1.00483196996517 0.77748530505929 1.53920637022071 0.00280627684946223
"DNAJA1" -0.825766752724413 2.01527849142727e-22 -0.487425130648433 1.07371853950177e-06 -0.33834162207598 0.0117286241504128 -0.528730214286729 3.70375910875796e-08 -0.290447721830356 0.43495231550195 -0.238282492456374 3.23775473901737
"HMGN3" -0.945321226351214 4.73886618986474e-22 -0.592524497656976 2.13048531978914e-07 -0.352796728694237 0.0416686872528451 -0.213157982921075 1.14343103315678 -0.115071628534263 5.99937842076246 -0.0980863543868115 5.99931127345856
"SLC7A11" 1.96384400304949 9.85280393235691e-22 0.27403958454359 2.42043014989744 1.6898044185059 3.85481131428011e-14 2.16828558129507 4.99820493050181e-25 0.909751460526526 0.0226581196025207 1.25853412076855 4.54340274147947e-06
"TRIB3" 2.73510526277962 2.09300741611621e-21 1.03344928304585 0.0158897574242271 1.70165597973377 7.04660300234889e-07 2.12812543924734 8.01764896419021e-12 0.982539076681781 0.439837414284127 1.14558636256556 0.0941308830448033
"OSGIN1" 1.96550893156869 2.21891792057661e-21 0.658747711278571 0.0496818495204685 1.30676122029012 8.54060345857404e-08 0.587803662600964 0.376180751949379 0.165833805159846 NA 0.421969857441118 5.99931127345856
"CSF1" 1.76215054782406 2.44506597405648e-21 0.80975166819011 0.000745482490532182 0.952398879633947 7.48094642275311e-05 0.486335709494961 0.599694297936091 0.0171777476150305 5.99937842076246 0.46915796187993 5.03207337173528
"ANLN" -1.25549268648318 2.71911431219121e-21 -0.856802607747348 1.47132987180764e-08 -0.398690078735829 0.246515548270427 -0.530697169343599 0.00734970623312612 -0.374639295558733 1.69027247772587 -0.156057873784866 5.99931127345856
"SLC12A8" 1.0888202943395 3.95584976930318e-21 0.384805185178692 0.0306293022202372 0.704015109160813 4.948474916311e-07 0.310212691803676 0.462580836796461 0.0840739295478238 NA 0.226138762255852 5.99931127345856
