"gene" "h24_45vD_log2FoldChange" "h24_45vD_padj" "h24_45v30_log2FoldChange" "h24_45v30_padj" "h24_30vD_log2FoldChange" "h24_30vD_padj" "h8_45vD_log2FoldChange" "h8_45vD_padj" "h8_45v30_log2FoldChange" "h8_45v30_padj" "h8_30vD_log2FoldChange" "h8_30vD_padj"
"ZNF213" 0.916594421940945 9.26540347309029e-17 0.61764635246457 1.33640211789538e-06 NA NA NA NA NA NA NA NA
"DHX15" -0.630786009822164 1.43623420333726e-16 -0.408563632663145 6.81974947784186e-06 NA NA NA NA NA NA NA NA
"CDH6" -2.05049368341019 1.83878399416644e-16 -1.34012853481711 6.81974947784186e-06 NA NA NA NA NA NA NA NA
"DIRAS2" -1.55793908679906 2.0051254251826e-16 -1.11884649960667 2.49535278026421e-07 NA NA NA NA NA NA NA NA
"EIF4EBP1" 1.42386870796719 2.17030255162226e-16 NA NA 0.937530709347673 7.07573055733189e-06 0.867111997214119 5.74028122766955e-05 NA NA NA NA
"PYCR1" 1.47712610965482 2.5862781574587e-16 NA NA 0.912532768747927 5.57790058979351e-05 0.969294529465521 7.84181494089587e-06 NA NA NA NA
"PKN1" 0.778953050230297 3.42955690796311e-16 0.448808251864513 0.000164104561523096 NA NA 0.379649434952899 0.00908343925591892 NA NA NA NA
"PPP1R15A" 2.48596197215636 4.31729902015418e-16 1.38780207463957 0.000313759260991432 NA NA 1.29525269107669 0.00234843592955256 NA NA NA NA
"FAM64A" -1.0220442627632 4.67187333511927e-16 -0.731604845827002 8.18452124613858e-07 NA NA NA NA NA NA NA NA
"RABEPK" 0.73830887248905 5.21601002569393e-16 0.451867563730239 4.48220707297874e-05 NA NA NA NA NA NA NA NA
"RNF41" 0.925350974969735 5.84692337083218e-16 NA NA 0.57862617444747 5.62101447337329e-05 0.710254964969329 3.93817334995103e-08 NA NA NA NA
"PCNXL2" 0.880062596316392 5.96943700514499e-16 0.417515488914899 0.00476959729404395 0.462547107401493 0.00397045391483174 0.463718811884015 0.00366568008166248 NA NA NA NA
"ISCU" 0.661087320602564 6.51674121788744e-16 0.497054979630491 7.77990521562799e-08 NA NA NA NA NA NA NA NA
"MSC" 2.63523553590589 9.56624889601725e-16 1.33926953866026 0.00178668310878992 NA NA 1.51533424301798 0.000699246222113656 NA NA NA NA
"GTPBP2" 1.91050091945529 1.06704323176914e-15 NA NA 1.12331678424495 0.000322418612307688 1.17297747083574 7.97362199053203e-05 NA NA NA NA
"CTH" 1.92917658180552 1.12252941201236e-15 NA NA 1.34111676816088 3.1989666489883e-06 1.65114383737237 3.57962290038521e-10 NA NA NA NA
"UBE2L3" -0.436743070561179 1.20093062587945e-15 -0.280388692100405 2.48938615197519e-05 NA NA NA NA NA NA NA NA
"SORCS1" -2.08536303837325 1.34558309455369e-15 -1.13523392466723 0.00116197905480189 NA NA NA NA NA NA NA NA
"GPCPD1" 1.37601502868525 1.35472102374052e-15 0.762429608688591 0.000409365721681849 NA NA NA NA NA NA NA NA
"GDF15" 3.51940003836656 1.98536276284652e-15 NA NA 2.43435894479018 3.89001405035014e-06 3.16315920377486 2.10515071364258e-11 NA NA 2.08692377391098 0.00280627684946223
"ATP2C2" 1.17814375986507 2.15137705496347e-15 0.743856067278418 2.93125875841608e-05 NA NA NA NA NA NA NA NA
"STC2" 1.65748939073122 2.2245281746452e-15 NA NA 1.142237930192 4.65306309999624e-06 1.75452163127609 5.68828766535399e-16 NA NA NA NA
"RACGAP1" -0.987057852099208 2.23260723574622e-15 -0.59037291746585 0.000139739269439638 NA NA NA NA NA NA NA NA
